step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side
110000,5966,1.464,0.194,8.19,550875,505521,7762,0,37721,16,2925951.8,1.0,0.246,0.075,0.287,0.392,128,7.29,3.30,0.04,0.42,0.06,0.79,0.05,0.55,7.13,3.13,0.00,0.00,0.006,0.062,668,0.124,0.884,0.000,0.000,0.116,1112094,1091069,15,0.213,0.024,0.017,854147,0.081,1.007,0.020,382.24,340725,0,0.061,0.000,0.000,4693286,1.02,18.04,0.000,0.000,0.000,4,7,11,38,43485,0.041,271.51,0.0069,0.002,132,0.743,0.000,0.798,0.510,3.97,5.13,6.66,0.00,0.000,1.02,1.02,1.02
120000,6008,1.469,0.185,8.10,543047,497019,7495,0,38491,21,2906248.2,3.4,0.277,0.083,0.225,0.415,130,7.39,3.48,0.05,0.51,0.05,0.55,0.04,0.44,7.24,3.40,0.00,0.00,0.006,0.063,649,0.114,0.885,0.000,0.000,0.115,1102529,1079715,12,0.217,0.118,0.014,1040344,0.074,0.984,0.019,381.52,336707,0,0.164,0.000,0.000,5049142,1.02,17.86,0.000,0.000,0.000,3,8,11,52,44376,0.042,272.24,0.0067,0.002,127,0.737,0.000,0.774,0.513,3.94,4.81,6.86,0.00,0.000,1.02,1.02,1.02
130000,6166,1.466,0.181,8.20,541474,493995,6880,0,40441,31,2924062.0,3.4,0.265,0.097,0.167,0.471,132,7.32,3.57,0.06,0.62,0.03,0.38,0.05,0.59,7.19,3.46,0.00,0.00,0.004,0.056,641,0.140,0.877,0.000,0.000,0.123,1081217,1062360,12,0.234,0.042,0.015,949425,0.073,0.966,0.019,383.83,316306,0,0.111,0.000,0.000,6287952,1.02,17.99,0.000,0.000,0.000,4,7,10,55,45159,0.043,269.93,0.0066,0.000,173,0.760,0.000,0.760,0.506,3.93,4.63,6.95,0.00,0.000,1.02,1.02,1.02
140000,6215,1.459,0.173,7.99,555882,510529,6726,0,38578,23,2933396.5,2.1,0.230,0.100,0.153,0.517,132,7.52,3.48,0.04,0.41,0.06,0.57,0.04,0.55,7.39,3.40,0.00,0.00,0.007,0.067,662,0.088,0.883,0.000,0.000,0.117,1071061,1057083,10,0.247,0.102,0.013,975283,0.072,0.945,0.018,384.57,305702,0,0.090,0.000,0.000,6604107,1.01,17.78,0.000,0.000,0.000,4,7,11,64,46754,0.045,269.19,0.0064,0.007,116,0.780,0.000,0.753,0.488,4.12,5.09,6.95,0.00,0.000,1.01,1.02,1.01
150000,6073,1.462,0.169,7.93,557606,513161,6707,0,37880,16,2973081.2,1.4,0.238,0.098,0.196,0.468,125,7.54,3.62,0.04,0.44,0.04,0.48,0.04,0.59,7.42,3.50,0.00,0.00,0.006,0.060,603,0.082,0.885,0.000,0.000,0.115,1079850,1064292,13,0.181,0.076,0.012,870260,0.080,0.935,0.017,384.02,298547,0,0.090,0.000,0.000,6566045,1.01,17.83,0.000,0.000,0.000,4,7,12,64,45761,0.044,269.74,0.0066,0.018,99,0.773,0.000,0.702,0.490,4.23,5.45,6.97,0.00,0.001,1.01,1.01,1.01
160000,6155,1.464,0.168,7.80,555203,509793,7068,2,38258,17,2943333.0,4.0,0.205,0.100,0.201,0.495,131,7.38,3.54,0.06,0.56,0.04,0.48,0.04,0.54,7.24,3.42,0.00,0.00,0.006,0.059,651,0.100,0.892,0.000,0.000,0.108,1090724,1075380,13,0.303,0.026,0.012,762282,0.079,0.937,0.017,383.02,296035,98,0.234,0.000,0.000,6989138,1.02,17.82,0.000,0.000,0.000,4,7,10,56,45413,0.043,270.73,0.0066,0.016,104,0.762,0.000,0.722,0.497,4.13,5.31,7.08,0.00,0.000,1.02,1.02,1.02
170000,6238,1.441,0.165,7.94,567964,521170,7053,0,39658,16,2905657.0,1.6,0.194,0.101,0.161,0.544,132,7.32,3.34,0.05,0.52,0.05,0.48,0.06,0.69,7.17,3.22,0.00,0.00,0.006,0.057,646,0.071,0.879,0.000,0.000,0.121,1083091,1068654,13,0.279,0.015,0.018,930219,0.072,0.932,0.017,383.51,290116,0,0.097,0.000,0.000,6755967,1.02,18.03,0.000,0.000,0.000,4,7,11,40,45673,0.044,270.24,0.0065,0.012,104,0.744,0.000,0.737,0.482,4.22,5.56,6.93,0.00,0.000,1.02,1.02,1.02
180000,6010,1.455,0.160,8.01,553671,511405,6800,0,35694,37,2949025.8,2.3,0.191,0.102,0.168,0.539,130,7.56,3.44,0.06,0.70,0.05,0.53,0.04,0.64,7.40,3.30,0.00,0.00,0.007,0.066,687,0.090,0.883,0.000,0.000,0.117,1094735,1078857,12,0.320,0.069,0.014,961074,0.073,0.923,0.017,383.52,297468,0,0.062,0.000,0.000,6421229,1.02,17.82,0.000,0.000,0.000,4,7,12,49,45412,0.043,270.23,0.0066,0.002,167,0.722,0.000,0.718,0.500,4.26,5.68,6.94,0.00,0.000,1.02,1.02,1.02
190000,6135,1.449,0.154,7.94,566874,524522,6927,0,35300,19,2993507.0,1.8,0.203,0.100,0.185,0.512,127,7.31,3.30,0.04,0.54,0.06,0.65,0.03,0.43,7.18,3.14,0.00,0.00,0.007,0.064,619,0.107,0.879,0.000,0.000,0.121,1112386,1097237,15,0.286,0.047,0.012,829872,0.068,0.908,0.016,383.82,305810,0,0.093,0.000,0.000,6212576,1.01,18.09,0.000,0.000,0.000,4,7,11,50,44844,0.043,269.93,0.0068,0.008,174,0.700,0.000,0.704,0.496,4.22,5.79,6.93,0.00,0.000,1.01,1.01,1.01
200000,5985,1.461,0.153,7.85,564540,520207,7257,0,37226,25,2994774.2,1.6,0.216,0.095,0.207,0.482,125,7.46,3.47,0.04,0.46,0.08,0.67,0.05,0.58,7.29,3.34,0.00,0.04,0.009,0.074,632,0.131,0.879,0.000,0.000,0.121,1129006,1114714,16,0.257,0.008,0.014,604746,0.079,0.908,0.016,384.36,299988,0,0.065,0.000,0.000,6444017,1.01,17.80,0.000,0.000,0.000,4,7,11,47,44628,0.043,269.39,0.0069,0.001,163,0.751,0.000,0.704,0.505,4.19,5.52,6.92,0.00,0.000,1.01,1.02,1.01
210000,6161,1.448,0.146,7.73,561957,521203,7273,0,33305,20,2981593.2,2.7,0.178,0.092,0.203,0.527,133,7.49,3.11,0.02,0.35,0.08,0.72,0.02,0.43,7.37,3.03,0.00,0.00,0.010,0.077,599,0.151,0.887,0.000,0.000,0.113,1108368,1096594,11,0.523,0.036,0.006,553629,0.081,0.886,0.015,383.87,287940,0,0.135,0.000,0.000,5604847,1.01,17.71,0.000,0.000,0.000,4,7,11,50,46140,0.044,269.88,0.0066,0.006,120,0.720,0.000,0.704,0.498,4.25,5.83,6.80,0.00,0.000,1.01,1.01,1.01
220000,6277,1.439,0.141,7.69,576737,536053,6950,0,33618,19,2900456.0,2.1,0.155,0.088,0.193,0.564,133,7.34,3.53,0.04,0.93,0.06,0.66,0.04,0.49,7.20,3.31,0.00,0.00,0.007,0.064,621,0.131,0.889,0.000,0.000,0.111,1089349,1079784,13,0.322,0.045,0.009,548758,0.075,0.856,0.014,384.52,282713,0,0.112,0.000,0.000,5286053,1.01,17.72,0.000,0.000,0.000,4,7,11,62,46093,0.044,269.23,0.0064,0.009,138,0.695,0.000,0.721,0.477,3.99,5.47,6.68,0.00,0.001,1.01,1.01,1.01
230000,6242,1.444,0.139,7.93,577487,535260,7146,0,35116,12,2880006.0,2.2,0.165,0.091,0.160,0.583,132,7.35,3.47,0.03,0.62,0.06,0.56,0.02,0.40,7.24,3.37,0.00,0.03,0.008,0.069,662,0.108,0.885,0.000,0.000,0.115,1081790,1071575,13,0.296,0.202,0.007,386312,0.095,0.851,0.014,384.63,288629,0,0.181,0.000,0.000,5417013,1.01,17.86,0.000,0.000,0.000,4,7,10,64,45905,0.044,269.12,0.0064,0.013,137,0.684,0.000,0.741,0.473,4.19,5.73,6.82,0.00,0.000,1.01,1.02,1.01
240000,6030,1.470,0.126,7.76,570734,529745,7229,0,33972,15,2935627.8,1.1,0.165,0.093,0.158,0.584,133,7.50,3.68,0.03,0.48,0.05,0.50,0.04,0.63,7.38,3.57,0.00,0.00,0.007,0.069,648,0.115,0.884,0.000,0.000,0.115,1092862,1082629,12,0.278,0.000,0.010,412024,0.085,0.811,0.013,383.92,295778,0,0.071,0.000,0.000,5745941,1.01,17.74,0.000,0.000,0.000,4,7,12,61,45215,0.043,269.83,0.0066,0.012,123,0.705,0.000,0.735,0.484,4.14,5.47,6.86,0.00,0.000,1.01,1.01,1.02
250000,6201,1.447,0.119,7.70,555855,515682,7208,0,32794,10,2860656.5,0.1,0.153,0.093,0.109,0.646,132,7.34,3.51,0.02,0.34,0.06,0.53,0.02,0.28,7.24,3.49,0.00,0.01,0.007,0.062,627,0.118,0.881,0.000,0.000,0.119,1109317,1097873,10,0.319,0.033,0.008,534996,0.071,0.787,0.012,384.60,289742,0,0.014,0.000,0.000,6058941,1.01,17.90,0.000,0.000,0.000,4,7,12,51,45510,0.043,269.15,0.0064,0.009,137,0.724,0.000,0.758,0.504,4.13,5.63,6.78,0.00,0.000,1.01,1.01,1.01
260000,5916,1.472,0.116,7.78,558452,519553,7281,0,31903,54,2901996.5,6.0,0.136,0.092,0.079,0.693,135,7.26,3.44,0.02,0.32,0.10,0.88,0.02,0.33,7.12,3.32,0.00,0.02,0.011,0.078,622,0.113,0.894,0.000,0.000,0.106,1103866,1092452,9,0.347,0.313,0.006,424256,0.077,0.774,0.011,383.68,288170,0,0.111,0.000,0.000,6363860,1.01,17.89,0.000,0.001,0.000,4,7,11,50,42976,0.041,270.08,0.0069,0.014,124,0.731,0.000,0.760,0.499,4.19,5.89,6.86,0.00,0.001,1.01,1.01,1.01
270000,6156,1.443,0.111,7.82,563029,522660,7562,0,32567,27,2866195.0,2.0,0.114,0.089,0.061,0.737,136,7.16,3.52,0.02,0.37,0.07,0.61,0.02,0.36,7.04,3.48,0.00,0.00,0.010,0.077,584,0.125,0.879,0.000,0.000,0.121,1127727,1118279,10,0.391,0.001,0.005,386427,0.090,0.759,0.011,382.83,280815,0,0.073,0.000,0.000,6352056,1.01,17.86,0.000,0.000,0.000,4,7,10,58,44051,0.042,270.93,0.0066,0.015,107,0.750,0.000,0.767,0.505,4.12,5.85,6.94,0.00,0.000,1.01,1.01,1.01
280000,6186,1.425,0.111,7.55,556589,520811,7474,1,28273,35,2899270.2,5.5,0.103,0.104,0.054,0.739,135,7.43,3.56,0.04,0.59,0.08,0.69,0.03,0.53,7.27,3.49,0.00,0.00,0.012,0.087,627,0.119,0.882,0.000,0.000,0.118,1090423,1081653,8,0.464,0.057,0.008,572194,0.073,0.751,0.011,380.61,278937,37,0.156,1.000,0.000,7606461,1.02,17.52,0.000,0.000,0.000,4,7,12,47,45959,0.044,273.15,0.0064,0.018,146,0.779,0.000,0.759,0.494,4.23,6.24,6.82,0.00,0.001,1.02,1.02,1.02
290000,6225,1.441,0.106,7.53,561809,527384,7285,0,27101,15,2959504.0,0.7,0.103,0.101,0.050,0.745,134,7.44,3.15,0.02,0.33,0.09,0.68,0.02,0.44,7.31,3.08,0.00,0.01,0.012,0.086,572,0.126,0.883,0.000,0.000,0.117,1093485,1087752,8,0.497,0.005,0.006,421026,0.087,0.732,0.010,382.70,269893,0,0.047,0.000,0.000,7222155,1.01,17.26,0.000,0.000,0.000,4,7,11,38,46331,0.044,271.05,0.0065,0.007,149,0.775,0.000,0.756,0.491,4.24,6.32,6.96,0.00,0.000,1.01,1.01,1.01
300000,6128,1.440,0.098,7.65,556855,523775,7298,0,25879,29,3021595.2,0.9,0.090,0.093,0.060,0.758,129,7.41,3.12,0.03,0.50,0.07,0.62,0.03,0.58,7.29,3.02,0.00,0.00,0.009,0.074,550,0.159,0.886,0.000,0.000,0.114,1095408,1087305,8,0.466,0.011,0.005,426932,0.090,0.711,0.010,382.94,259777,0,0.032,0.000,0.000,6225194,1.01,17.49,0.000,0.000,0.000,4,8,12,41,45437,0.043,270.81,0.0068,0.012,116,0.748,0.000,0.743,0.496,4.30,6.38,6.83,0.00,0.000,1.01,1.01,1.01
310000,6178,1.433,0.097,7.69,564129,530648,7169,0,26262,26,2926975.0,1.8,0.092,0.093,0.070,0.746,133,7.43,3.31,0.04,0.66,0.09,0.67,0.03,0.42,7.27,3.19,0.00,0.00,0.011,0.082,591,0.149,0.886,0.000,0.000,0.114,1096047,1088726,9,0.468,0.027,0.011,436020,0.078,0.689,0.009,383.79,259112,0,0.070,0.000,0.000,6436328,1.01,17.67,0.000,0.000,0.000,4,7,12,52,45879,0.044,269.96,0.0065,0.011,119,0.759,0.000,0.729,0.490,4.31,6.25,6.93,0.00,0.000,1.01,1.01,1.01
320000,6076,1.459,0.091,7.75,566669,532096,7228,0,27447,37,2919950.0,2.1,0.092,0.102,0.083,0.723,132,7.42,3.12,0.06,0.82,0.09,0.68,0.03,0.57,7.24,2.99,0.00,0.01,0.012,0.084,549,0.137,0.885,0.000,0.000,0.115,1094090,1087309,10,0.453,0.007,0.007,543333,0.068,0.665,0.008,383.35,265488,0,0.058,0.000,0.000,7421703,1.02,17.63,0.000,0.000,0.000,4,7,11,47,45055,0.043,270.41,0.0066,0.015,134,0.784,0.000,0.721,0.486,4.28,6.24,7.08,0.00,0.000,1.02,1.02,1.02
330000,6232,1.441,0.089,7.62,556409,521459,7136,0,27658,31,2887189.0,2.5,0.124,0.098,0.068,0.710,129,7.33,3.24,0.03,0.43,0.08,0.69,0.02,0.40,7.20,3.19,0.00,0.00,0.008,0.069,572,0.191,0.886,0.000,0.000,0.114,1074886,1066672,10,0.487,0.026,0.006,426338,0.086,0.654,0.008,382.88,279104,0,0.081,0.000,0.000,6914592,1.01,17.54,0.000,0.000,0.000,4,7,11,39,45669,0.044,270.87,0.0064,0.009,139,0.753,0.000,0.722,0.487,4.14,5.79,7.07,0.00,0.001,1.01,1.01,1.01
340000,6249,1.438,0.087,7.70,556974,524080,7276,0,25601,32,2935958.8,2.2,0.109,0.082,0.055,0.754,132,7.36,3.32,0.04,0.66,0.09,0.72,0.03,0.48,7.20,3.18,0.00,0.00,0.011,0.080,589,0.170,0.892,0.000,0.000,0.108,1076339,1068312,10,0.555,0.011,0.009,465461,0.084,0.649,0.008,382.52,264396,0,0.070,0.000,0.000,5499586,1.02,17.48,0.000,0.000,0.000,4,8,10,61,45977,0.044,271.24,0.0065,0.015,117,0.724,0.000,0.746,0.488,4.18,6.08,6.92,0.00,0.001,1.01,1.02,1.02
350000,6166,1.445,0.089,7.50,557074,526671,7327,0,23159,41,2922868.0,2.8,0.089,0.076,0.041,0.794,128,7.39,3.25,0.01,0.30,0.10,0.81,0.03,0.42,7.25,3.15,0.00,0.00,0.011,0.084,552,0.178,0.896,0.000,0.000,0.104,1080530,1072433,11,0.598,0.003,0.012,456655,0.086,0.649,0.008,382.49,254890,0,0.069,0.000,0.000,5156073,1.01,17.41,0.000,0.000,0.000,4,8,10,56,45571,0.043,271.27,0.0065,0.016,120,0.729,0.000,0.733,0.489,4.21,6.19,6.82,0.00,0.001,1.01,1.01,1.01
360000,6351,1.424,0.087,7.49,568045,537014,7338,0,23508,59,2932888.8,2.0,0.089,0.067,0.034,0.810,133,7.19,2.88,0.02,0.42,0.10,0.72,0.02,0.33,7.06,2.76,0.00,0.00,0.012,0.086,516,0.187,0.884,0.000,0.000,0.116,1084391,1075363,9,0.648,0.015,0.004,433184,0.084,0.646,0.008,383.26,244625,0,0.033,0.000,0.000,4006155,1.01,17.63,0.000,0.000,0.000,4,7,10,63,45686,0.044,270.50,0.0065,0.002,143,0.688,0.000,0.729,0.481,4.20,6.26,6.89,0.00,0.000,1.01,1.01,1.01
370000,6177,1.446,0.088,7.52,559444,530200,7278,0,22140,47,2992248.8,2.5,0.089,0.057,0.043,0.811,133,7.10,3.03,0.02,0.34,0.10,0.82,0.04,0.58,6.94,2.91,0.00,0.00,0.012,0.086,518,0.173,0.892,0.000,0.000,0.108,1120442,1113609,9,0.714,0.007,0.008,409075,0.094,0.647,0.008,384.37,253320,0,0.054,0.000,0.000,3241453,1.01,18.05,0.000,0.000,0.000,3,7,10,46,43840,0.042,269.39,0.0070,0.005,130,0.681,0.000,0.717,0.504,4.22,6.29,6.81,0.00,0.000,1.01,1.01,1.01
380000,6284,1.435,0.087,7.43,554988,527175,7793,0,19913,39,2912239.8,0.9,0.094,0.062,0.042,0.802,134,6.91,2.78,0.01,0.28,0.08,0.72,0.03,0.52,6.77,2.69,0.00,0.00,0.010,0.080,466,0.168,0.895,0.000,0.000,0.105,1121186,1115150,8,0.790,0.015,0.009,428210,0.087,0.647,0.008,383.73,248944,0,0.023,0.000,0.000,4318027,1.01,18.11,0.000,0.000,0.000,4,7,10,28,43395,0.041,270.02,0.0068,0.016,100,0.744,0.000,0.725,0.508,4.17,6.39,6.91,0.00,0.000,1.00,1.01,1.01
390000,6211,1.439,0.088,7.38,543199,515673,7944,0,19655,22,2974788.0,2.0,0.091,0.066,0.038,0.805,137,6.78,3.13,0.02,0.45,0.11,0.91,0.01,0.32,6.64,2.98,0.00,0.00,0.013,0.093,447,0.150,0.887,0.000,0.000,0.113,1148137,1143107,6,0.831,0.002,0.004,344081,0.089,0.644,0.008,382.35,250561,0,0.091,0.000,0.000,5071289,1.01,18.43,0.000,0.001,0.000,3,7,10,56,42136,0.040,271.40,0.0072,0.021,98,0.780,0.000,0.732,0.529,4.14,6.45,6.61,0.00,0.000,1.01,1.01,1.01
400000,6218,1.429,0.083,7.29,553722,527782,7953,0,17980,44,2989669.8,3.2,0.080,0.067,0.035,0.818,132,7.07,2.80,0.01,0.21,0.10,0.67,0.02,0.32,6.94,2.79,0.00,0.00,0.016,0.100,456,0.195,0.888,0.000,0.000,0.112,1140621,1137410,5,0.897,0.003,0.006,337357,0.096,0.631,0.007,382.68,242766,0,0.072,0.000,0.000,5287056,1.00,18.10,0.000,0.000,0.000,3,7,10,64,43936,0.042,271.08,0.0069,0.007,143,0.796,0.000,0.715,0.517,4.36,6.83,6.63,0.00,0.000,1.00,1.00,1.00
410000,6237,1.422,0.084,7.25,572784,549340,7643,0,15782,35,3016379.0,3.3,0.069,0.066,0.030,0.835,133,7.32,2.86,0.02,0.38,0.14,0.99,0.02,0.31,7.14,2.75,0.00,0.00,0.017,0.105,478,0.276,0.895,0.000,0.000,0.105,1119232,1116794,5,0.930,0.009,0.005,350695,0.076,0.632,0.007,383.22,233121,0,0.093,0.000,0.000,4689431,1.01,17.66,0.000,0.000,0.000,3,8,10,37,45654,0.044,270.54,0.0068,0.000,162,0.779,0.000,0.680,0.491,4.50,7.00,6.81,0.00,0.000,1.01,1.01,1.01
420000,6272,1.430,0.080,7.14,578568,554604,7601,0,16328,48,3039384.5,4.1,0.060,0.064,0.032,0.844,135,7.37,2.82,0.02,0.48,0.12,0.91,0.01,0.31,7.22,2.70,0.00,0.00,0.015,0.095,418,0.254,0.894,0.000,0.000,0.106,1126076,1123801,3,0.962,0.018,0.004,302106,0.081,0.611,0.007,383.48,220769,0,0.085,0.000,0.000,4615313,1.01,17.64,0.000,0.000,0.000,4,8,10,39,46241,0.044,270.28,0.0067,0.006,138,0.788,0.000,0.677,0.489,4.55,7.17,6.78,0.00,0.000,1.01,1.01,1.01
430000,6227,1.424,0.079,7.13,580186,557092,7539,0,15600,49,2993687.0,5.1,0.039,0.063,0.037,0.861,135,7.39,3.03,0.02,0.34,0.14,0.99,0.02,0.36,7.21,2.90,0.00,0.00,0.016,0.100,472,0.251,0.892,0.000,0.000,0.108,1117104,1115652,3,0.920,0.043,0.004,265802,0.090,0.596,0.006,383.71,221676,0,0.103,0.000,0.000,4568133,1.01,17.65,0.000,0.000,0.000,4,8,10,44,46000,0.044,270.04,0.0067,0.003,155,0.787,0.000,0.689,0.483,4.47,6.95,6.77,0.00,0.001,1.01,1.01,1.01
